Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,columnType
Component,"Category of metadata (e.g. Tools, Publications, etc.); provide the same one for all items/rows.",,,TRUE,,,,,str,string
USE,This data use modifier indicates that use is limited to use by approved users.,,studyUserSpecificRestriction,FALSE,DUO:0000026,dataUseModifiers,,,str,string
COL,This data use modifier indicates that the requestor must agree to collaboration with the primary study investigator(s).,,studyCollaborationRequired,FALSE,DUO:0000020,dataUseModifiers,,,str,string
RST,This data use modifier indicates that use is limited to studies of a certain research type.,,studyResearchSpecificRestrictions,FALSE,DUO:0000012,dataUseModifiers,,,str,string
TSM,This data use modifier indicates that use is approved for a specific number of months.,,studyTimeLimitOnUse,FALSE,DUO:0000025,dataUseModifiers,,,str,string
MOR,This data use modifier indicates that requestor agrees not to publish results of studies until a specific date.,,studyPublicationMoratorium,FALSE,DUO:0000024,dataUseModifiers,,,str,string
IST,This data use modifier indicates that use is limited to use within an approved institution.,,studyInstitutionSpecificRestriction,FALSE,DUO:0000028,dataUseModifiers,,,str,string
GSR,This data use modifier indicates that use is limited to within a specific geographic region.,,studyGeographicalRestriction,FALSE,DUO:0000022,dataUseModifiers,,,str,string
DSR,This data use permission indicates that use is allowed provided it is related to the specified disease.,,studyDiseaseSpecificResearch,FALSE,DUO:0000007,dataUseModifiers,,,str,string
DUOPlus1,Source geography is relevant to governance decisions.,,studySourceGeography,FALSE,,dataUseModifiers,,,str,string
DUOPlus2,Study population is relevant to governance decisions.,,studyPopulation,FALSE,,dataUseModifiers,,,str,string
DUOPlus3,Data deidentification is relevant to governance decisions.,,studyDeidentificationType,FALSE,,dataUseModifiers,,,str,string
DUOPlus4,A data permission designation is associated with the Study.,,studyDataPermission,FALSE,,dataUseModifiers,,,str,string
DUOPlus5,A data tier designation is associated with the Study.,,studyDataTier,FALSE,,dataUseModifiers,,,str,string
DUOPlus6,A license is associated with the Study.,,studyLicense,FALSE,,dataUseModifiers,,,str,string
DUOPlus7,Attribution conditions are associated with this Study.,,studyAttribution,FALSE,,dataUseModifiers,,,str,string
Study,Studies associated with a grant,,"Component, Study_id, grantNumber, studyName, studyDescription, studyInvestigator, studyParticipantNumber, studyDeidentificationType, studyDeidentificationMethodDescription, studyDeidentificationMethodSoftware, studyDbgapAccessionId, studyDataUseModifiers, studyIndexDate, AccessRequirementKey",FALSE,,,,,,
grantNumber,The identifier associated with the award funding this study.,,,FALSE,,Study,,,list like,
studyName,Name of the study,,,TRUE,CDE:11459810,Study,,,str,string
studyDescription,"Description of the study, including the types of experimental assays, model systems, types of analysis, description of cohort, associated vulnerable populations, special categories of data, rare diseases, etc. Maps to DUOplus2.",,,TRUE,CDE:03444002,Study,,,str,string
studyInvestigator,Investigator(s) associated with the project. Multiple names should be provided as a comma-separated list.,,,TRUE,,Study,,,list like,
studyAttribution,"The funder-, contributor-, patient-, etc., derived content that includes terms, conditions, or statements associated with accessing and reusing the resource(s). Maps to DUOplus7.",,,FALSE,,Study,,,str,string
Study_id,A unique primary key that enables record updates using schematic.,,,TRUE,CDE:12960571,Study,,,unique,string
studyParticipantNumber,The number of participant instances associated with systematic investigation into a subject.,,,TRUE,CDE:11555662,Study,,CDS/collection,int,integer
studyDeidentificationType,General description of the de-identification method. Maps to DUOplus3.,"HIPPA_LDS, SafeHarbor, ExpertDetermination, Pseudonymized, Anonymized, Other",,TRUE,CDE:14576319,Study,,CDS/collection,list like,
studyDeidentificationMethodDescription,Description of the process of removing potentially identifying data or data elements to render data into a form that does not identify individuals and where identification is not likely to take place.,,,FALSE,,Study,,CDS/collection,str,string
studyDeidentificationMethodSoftware,Software that was used to de-identify the data (if used),,,FALSE,,Study,,CDS/collection,str,string
studyDbgapAccessionId,A stable unique alphanumeric identifier assigned to a study and any objects by the database of Genotypes and Phenotypes (dbGaP). Required for controlled access data being submitted to CDS/CRDC.,,,FALSE,CDE:11524544,Study,,CDS/collection,str,string
studyLicense,Official or legal permission to do or own a specified thing. Studies with data that will be submitted to CDS are required to provide a license. Maps to DUOplus6.,"CC0, CC_BY, CC_BY_NC, CC_BY_ND, CC_BY_SA, CC_BY_NC_ND, CC_BY_NC_SA, Apache_2.0, MIT, GPL_3.0, BSD_3_Clause",,FALSE,CDE:14902606,Study,,CDS/collection,list like,
studyDataUseModifiers,"DUO code - A data item that is used to indicate consent permissions for datasets and/or materials and relates to the purposes for which datasets and/or material might be removed, stored, or used.","IRB, HMB, PUB, USE, NPOA, COL, NCU, NPUNCU, RST, TSM, NRES, NPU, DUM, POA, MOR, GSO, RTN, CC, NMDS, IST, GSR, DSR, GRU, PS, DUOPlus1, DUOPlus2, DUOPlus3, DUOPlus4, DUOPlus5, DUOPlus6, DUOPlus7, Pending Annotation",,FALSE,CDE:00002002,Study,,Data Use Ontology,list like,
studyIndexDate,"The reference event associated with timepoints in this study. One of Diagnosis Date, Enrollment Date, Collection Date, or Birth Date.","Diagnosis Date , Enrollment Date, Collection Date, Birth Date",,FALSE,,Study,,CDS v5.0.4/Study,list like,
