Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,columnType
Component,"Category of metadata (e.g. Tools, Publications, etc.); provide the same one for all items/rows.",,,TRUE,,,,,str,string
AccessRequirementKey,The Access Requirement id(s) associated with this object. Provide multiple values as a comma-separated list.,,,FALSE,AccessRequirement_id,Study,,,str,string
StudyKey,The Study id(s) associated with this object. Provide multiple values as a comma-separated list.,,,FALSE,Study_id,shared,,,str,string
dataUseModifiers,"A list of data use modifiers that apply to the access requirement. Examples include GRU, IRB, etc.","IRB, HMB, PUB, USE, NPOA, COL, NCU, NPUNCU, RST, TSM, NRES, NPU, DUM, POA, MOR, GSO, RTN, CC, NMDS, IST, GSR, DSR, GRU, PS, DUOPlus1, DUOPlus2, DUOPlus3, DUOPlus4, DUOPlus5, DUOPlus6, DUOPlus7, Pending Annotation",,FALSE,,AccessRequirement,,,list like,
collaborationRequired,"If collaboration is required for the access requirement, provide the PI email address. Provide multiple as a comma-separated list.",,,FALSE,,AccessRequirement,,,str,string
diseaseSpecificResearch,The type(s) of disease research allowed by this access requirement. Provide the MONDO ID in format MONDO:id. Provide multiple values as a comma-separated list.,,,FALSE,,AccessRequirement,,,list like::regex search MONDO:\d{7},
geographicalRestriction,Geographical regions with restrictions associated with the access requirement.,"AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW",,FALSE,,AccessRequirement,,,list like,
institutionSpecificRestriction,Institutions with specific restrictions associated with the access requirement. Provide the ROR ID in format ROR:id. Provide multiple entries as a comma-separated list.,,,FALSE,,AccessRequirement,,,list like::regex search ROR:[a-z0-9]{9},
publicationMoratorium,End date of the publication moratorium associated with the access requirement.,,,FALSE,,AccessRequirement,,,date,
researchSpecificRestrictions,Research-specific restrictions associated with the access requirement.,,,FALSE,,AccessRequirement,,,str,string
timeLimitOnUse,Time limit on the use of the data associated with the access requirement.,,,FALSE,,AccessRequirement,,,number,number
userSpecificRestriction,The user-specific restrictions associated with the access requirement.,,,FALSE,,AccessRequirement,,,str,string
sourceGeography,The geographical source of the data associated with the access requirement. Equivalent to DUOPlus1.,"AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW",,FALSE,,AccessRequirement,,,list like,
populationType,The population studied in the research associated with the access requirement. Equivalent to DUOPlus2,,,FALSE,,AccessRequirement,,,str,string
deidentificationType,The type of de-identification applied to the data associated with the access requirement. Equivalent to DUOPlus3.,"HIPPA_LDS, SafeHarbor, ExpertDetermination, Pseudonymized, Anonymized, Other",,FALSE,,AccessRequirement,,,list like,
dataPermission,The permissions associated with the data under the access requirement. Equivalent to DUOPlus4.,"Agreement, Attestation, Award, Other",,FALSE,,AccessRequirement,,,list like,
dataTier,The tier of data access associated with the access requirement. Equivalent to DUOPlus5.,"Anonymous, Open, Controlled, Private",,FALSE,,AccessRequirement,,,list like,
license,The license under which the data associated with the access requirement is shared. Equivalent to DUOPlus6.,"CC0, CC_BY, CC_BY_NC, CC_BY_ND, CC_BY_SA, CC_BY_NC_ND, CC_BY_NC_SA, Apache_2.0, MIT, GPL_3.0, BSD_3_Clause",,FALSE,,AccessRequirement,,,list like,
attribution,The attribution statement for the data associated with the access requirement. Equivalent to DUOPlus7.,,,FALSE,,AccessRequirement,,,str,string
USE,This data use modifier indicates that use is limited to use by approved users.,,userSpecificRestriction,FALSE,DUO:0000026,dataUseModifiers,,,str,string
COL,This data use modifier indicates that the requestor must agree to collaboration with the primary study investigator(s).,,collaborationRequired,FALSE,DUO:0000020,dataUseModifiers,,,str,string
RST,This data use modifier indicates that use is limited to studies of a certain research type.,,researchSpecificRestrictions,FALSE,DUO:0000012,dataUseModifiers,,,str,string
TSM,This data use modifier indicates that use is approved for a specific number of months.,,timeLimitOnUse,FALSE,DUO:0000025,dataUseModifiers,,,str,string
MOR,This data use modifier indicates that requestor agrees not to publish results of studies until a specific date.,,publicationMoratorium,FALSE,DUO:0000024,dataUseModifiers,,,str,string
IST,This data use modifier indicates that use is limited to use within an approved institution.,,institutionSpecificRestriction,FALSE,DUO:0000028,dataUseModifiers,,,str,string
GSR,This data use modifier indicates that use is limited to within a specific geographic region.,,geographicalRestriction,FALSE,DUO:0000022,dataUseModifiers,,,str,string
DSR,This data use permission indicates that use is allowed provided it is related to the specified disease.,,diseaseSpecificResearch,FALSE,DUO:0000007,dataUseModifiers,,,str,string
DUOPlus1,Source geography is relevant to governance decisions.,,sourceGeography,FALSE,,dataUseModifiers,,,str,string
DUOPlus2,Study population is relevant to governance decisions.,,populationType,FALSE,,dataUseModifiers,,,str,string
DUOPlus3,Data deidentification is relevant to governance decisions.,,deidentificationType,FALSE,,dataUseModifiers,,,str,string
DUOPlus4,A data permission designation is associated with the Study.,,dataPermission,FALSE,,dataUseModifiers,,,str,string
DUOPlus5,A data tier designation is associated with the Study.,,dataTier,FALSE,,dataUseModifiers,,,str,string
DUOPlus6,A license is associated with the Study.,,license,FALSE,,dataUseModifiers,,,str,string
DUOPlus7,Attribution conditions are associated with this Study.,,attribution,FALSE,,dataUseModifiers,,,str,string
