Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
AccessRequirementKey,The Access Requirement id(s) associated with this object. Provide multiple values as a comma-separated list.,,,,foreign_key,,string,,,,,,
StudyKey,The Study id(s) associated with this object. Provide multiple values as a comma-separated list.,,,,foreign_key,,string,,,,,,
dataUseModifiers,"A list of data use modifiers that apply to the access requirement. Examples include GRU, IRB, etc.","DUO:0000042, DUO:0000027, DUO:0000016, DUO:0000029, DUO:0000043, DUO:0000015, DUO:0000004, DUO:0000045, DUO:0000017, DUO:0000011, DUO:0000046, DUO:0000018, DUO:0000044, DUO:0000021, DUO:0000006, DUO:0000019, DUO:0000026, DUO:0000020, DUO:0000012, DUO:0000025, DUO:0000024, DUO:0000028, DUO:0000022, DUO:0000007, DUOPlus1, DUOPlus2, DUOPlus3, DUOPlus4, DUOPlus5, DUOPlus6, DUOPlus7, Pending Annotation",,,,,string_list,,,,,,
collaborationRequired,"If collaboration is required for the access requirement, provide the PI email address. Provide multiple as a comma-separated list.",,,,,,string,,,,,,
diseaseSpecificResearch,The type(s) of disease research allowed by this access requirement. Provide the MONDO ID in format MONDO:id. Provide multiple values as a comma-separated list. MONDO terms can be found here: https://ols.monarchinitiative.org/ontologies/mondo,,,,,,string_list,,MONDO:\d{7},,,,
geographicalRestriction,The specific geographic region(s) to which use is limited by the access requirement.,"AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW",,,,,string_list,,,,,,
institutionSpecificRestriction,Institutions with specific restrictions associated with the access requirement. Provide the institution ROR ID in format ROR:id. Provide multiple entries as a comma-separated list. ROR IDs can be found here: https://ror.org/search,,,,,,string_list,,ROR:[a-z0-9]{9},,,,
publicationMoratorium,End date of the publication moratorium associated with the access requirement.,,,,,,string,date,,,,,
researchSpecificRestrictions,Research-specific restrictions associated with the access requirement.,,,,,,string,,,,,,
timeLimitOnUse,Time limit on the use of the data associated with the access requirement.,,,,,,number,,,,,,
