Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
AccessRequirement,"Representation of a Synapse Access Requirement and its relationships to entities, grants, and projects.",,"AccessRequirement_id, contributorName, contributionDate, StudyKey, entityIdList, dataUseModifiers",,,,,,,,,True,
AccessRequirement_id,A unique identifier for the access requirement. This should be the numeric identifier of the access requirement.,,,True,primary_key,,,,,,,,
contributorName,The name of the person who added this access requirement.,,,True,,,string,,,,,,
contributionDate,The date on which the access requirement was added.,,,True,,,string,date,,,,,
entityIdList,"Synapse ID(s) for Synapse container(s) (e.g. Project, Dataset, Folder, Table, etc.) with which the Access Requirement is expected to be associated. Provide multiple values as a comma-separated list.",,,,,,string,,,,,,
Resource,"Information that is relevant to resource access conditions.",,"Resource_id, StudyKey, AccessRequirementKey, SchemaKey, dataUseModifiers, grantAnnotationKey, grantAnnotationValue, studyAnnotationKey, studyAnnotationValue, dataTypeKey, dataTypeValue, speciesTypeKey, speciesTypeValue, activatedByAttribute, activationValue, registeredSchemaUrl",,,,,,,,,True
Resource_id,"A unique identifier for the resource type. Examples mc2Res1, adkpRes1, adkpRes2.",,,True,primary_key,,string,,,,,
grantAnnotationKey,The annotation key applied to a Synapse entity that contains a grant identifier.,,,,,,string,,,,,
grantAnnotationValue,The value that will be assigned to the key provided under grantAnnotationKey. Value should be applied to Synapse entities released with this AR.,,,,,,string,,,,,
studyAnnotationKey,The annotation key applied to a Synapse entity that contains a study identifier.,,,,,,string,,,,,
studyAnnotationValue,The value that will be assigned to the key provided under studyAnnotationKey. Value should be applied to Synapse entities released with this AR.,,,,,,string,,,,,
dataTypeKey,The annotation key applied to a Synapse entity that contains a data type identifier.,,,,,,string,,,,,
dataTypeValue,The value that will be assigned to the key provided under dataTypeKey. Value should be applied to Synapse entities released with this AR.,,,,,,string,,,,,
speciesTypeKey,The annotation key applied to a Synapse entity that contains a species identifier.,,,,,,string,,,,,
speciesTypeValue,The value that will be assigned to the key provided under speciesTypeKey. Value should be applied to Synapse entities released with this AR.,,,,,,string,,,,,
activatedByAttribute,The name of a Synapse annotation key that will be applied to entities released under this AR. Setting this attribute to activationValue designates that the AR should be active.,,,,,,string,,,,,
activationValue,The value of Synapse annotation recorded under activatedByAttribute that will be applied to entities released under this AR to indicate the AR should be active,,,,,,string,,,,,
SchemaKey,The Schema_id corresponding to a registered JSON schema that describes the access conditions relevant to this Resource.,,,,foreign_key,,string,,,,,
registeredSchemaUrl,URL associated with the annotation schema that will be applied to the resource type.,,,,,,string,,,,,
Schema,"Information that is relevant to resource access conditions.",,"Schema_id, ResourceKey, AccessRequirementKey, StudyKey, schemaUrl",,,,,,,,,True,
Schema_id,"A unique identifier for the schema.",,,,primary_key,,string,,,,,,
ResourceKey,"The identifier(s) for the Resource(s) associated with this schema. Provide multiple values as a comma-separated list.",,,,foreign_key,,string_list,,,,,,
schemaUrl,The registered URL associated with the access requirement JSON schema.,,,,,,string,,,,,,
Study,Studies associated with a grant,,"Study_id, studyProjectIdentifier, grantNumber, studyName, AccessRequirementKey, studyDescription, studyInvestigator, studyParticipantNumber, studySampleNumber, studyDeidentificationType, studyDeidentificationMethodDescription, studyDeidentificationMethodSoftware, studyDbgapAccessionId, studyIndexDate, dataUseModifiers",,,,,,,,,True,
grantNumber,The identifier associated with the award funding this study.,,,,,,string_list,,,,,,
studyName,Name of the study,,,True,CDE:11459810,,string,,,,,,
studyDescription,"Description of the study, including the types of experimental assays, model systems, types of analysis, description of cohort, associated vulnerable populations, special categories of data, rare diseases, etc. Maps to DUOplus2.",,,True,CDE:03444002,,string,,,,,,
studyInvestigator,Investigator(s) associated with the project. Multiple names should be provided as a comma-separated list.,,,True,,,string,,,,,,
Study_id,A unique primary key that enables record updates using schematic.,,,True,"CDE:12960571, primary_key",,string,,,,,,
studyParticipantNumber,The number of participant instances associated with systematic investigation into a subject.,,,True,CDE:11555662,,number,,,,,,
studyDeidentificationType,General description of the de-identification method. Maps to DUOplus3.,"HIPPA_LDS, SafeHarbor, ExpertDetermination, Pseudonymized, Anonymized, Other",,,CDE:14576319,,string_list,,,,,,
studyDeidentificationMethodDescription,Description of the process of removing potentially identifying data or data elements to render data into a form that does not identify individuals and where identification is not likely to take place.,,,,,,string,,,,,,
